"hostphylogeny.taxon","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"Coccyzus erythropthalmus",1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0
"Coccyzus melacoryphus",1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1
"Cochlearius cochlearius",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coeligena albicaudata",0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"Coeligena coeligena",0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Coeligena dichroura",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coeligena inca",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Coeligena iris",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
"Coeligena torquata",0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"Coereba flaveola",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0
"Colaptes atriceps",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Colaptes atricollis",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"Colaptes cinereicappillus",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"Colaptes punctigula",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Colaptes rivolii",0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
"Colaptes rubiginosus",0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
"Colaptes rupicola",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"Colibri coruscans",0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1
"Colibri delphinae",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"Colibri thalassinus",0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
"Colonia colonus",1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
"Columbina cruziana",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Columbina minuta",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Columbina picui",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columbina talpacoti",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Conioptilon mcilhennyi",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conirostrum albifrons",0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0
"Conirostrum cinereum",0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1
"Conirostrum ferrugineiventre",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Conirostrum sitticolor",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Conirostrum speciosum",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Conopias cinchoneti",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Conopias trivirgatus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conopophaga ardesiaca",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Conopophaga castaneiceps",0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"Conopophaga peruviana",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Conothraupis speculigera",1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
"Contopus cinereus",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Contopus cooperi",0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0
"Contopus fumigatus",0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0
"Contopus nigrescens",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Contopus punensis",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"Contopus sordidulus",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"Contopus virens",1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"Coragyps atratus",1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1
"Coryphospingus cucullatus",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Corythopis torquatus",1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"Cotinga cayana",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Cotinga cotinga",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Cotinga maynana",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cranioleuca albicapilla",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Cranioleuca antisiensis",0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1
"Cranioleuca baroni",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cranioleuca curtata",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Cranioleuca gutturata",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cranioleuca marcapatae",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Creurgops dentatus",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Creurgops verticalis",0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Crotophaga ani",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Crotophaga major",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crotophaga sulcirostris",0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1
"Crypturellus bartletti",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Crypturellus cinereus",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Crypturellus obsoletus",1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0
"Crypturellus parvirostris",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Crypturellus soui",1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"Crypturellus strigulosus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crypturellus undulatus",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Crypturellus variegatus",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cyanerpes caeruleus",1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"Cyanerpes cyaneus",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cyanerpes nitidus",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cyanocompsa cyanoides",1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"Cyanocorax mystacalis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cyanocorax violaceus",1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"Cyanocorax yncas",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyanolyca viridicyanus",0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cyclarhis gujanensis",0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1
"Cymbilaimus lineatus",1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"Cymbilaimus sanctaemariae",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Cyphorhinus arada",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cyphorhinus dichrous",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Cyphorhinus thoracicus",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Cypseloides cryptus",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Dacnis albiventris",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Dacnis cayana",1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0
"Dacnis flaviventer",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Dacnis lineata",1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"Daptrius ater",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Deconychura longicauda",1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"Deconychura stictolaema",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Delothraupis castaneoventris",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Dendrexetastes rufigula",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Dendrocincla fuliginosa",1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"Dendrocincla merula",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Dendrocincla tyrannina",0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"Dendrocolaptes certhia",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Dendrocolaptes picumnus",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Dendroica cerulea",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Dendroica fusca",0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0
"Dendroica striata",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Dendroplex picus",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Dichrozona cincta",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Diglossa albilatera",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Diglossa brunneiventris",0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1
"Diglossa caerulescens",0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"Diglossa cyanea",0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0
"Diglossa glauca",0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Diglossa humeralis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Diglossa lafresnayii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Diglossa mystacalis",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Diglossa sittoides",0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1
"Discosura langsdorffi",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Discosura popelairii",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Diuca speculifera",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Dives warszewiczi",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1
"Dolichonyx oryzivorus",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Donacobius atricapilla",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Doryfera johannae",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Doryfera ludovicae",0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"Dromococcyx pavoninus",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Dromococcyx phasianellus",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Drymophila caudata",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drymophila devillei",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dubusia stictocephala",0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Dubusia taeniata",0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
"Dysithamnus mentalis",0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0
"Egretta caerulea",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Egretta thula",1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1
"Elaenia albiceps",0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
"Elaenia chiriquensis",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Elaenia flavogaster",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Elaenia gigas",0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
"Elaenia obscura",0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Elaenia pallatangae",0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0
"Elaenia parvirostris",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Elaenia spectabilis",1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Elaenia strepera",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Elanoides forficatus",1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0
"Electron platyrhynchum",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Empidonax alnorum",1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"Empidonomus aurantioatrocristatus",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Empidonomus varius",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ensifera ensifera",0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
"Entomodestes leucotis",0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"Epinecrophylla erythrura",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Epinecrophylla haematonota",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Epinecrophylla leucophthalma",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Epinecrophylla ornata",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Epinecrophylla spodionota",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Eriocnemis alinae",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eriocnemis luciani",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Eubucco richardsoni",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Eubucco tucinkae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubucco versicolor",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Eucometis penicillata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euphonia chlorotica",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Euphonia chrysopasta",1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"Euphonia cyanocephala",0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0
"Euphonia laniirostris",1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"Euphonia mesochrysa",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euphonia minuta",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Euphonia rufiventris",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Euphonia xanthogaster",1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0
"Eurypyga helias",1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"Euscarthmus meloryphus",0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0
"Eutoxeres condamini",0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
"Falco deiroleucus",1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
"Falco femoralis",0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Falco peregrinus",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
"Falco rufigularis",1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
"Falco sparverius",0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
"Florisuga mellivora",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Fluvicola albiventer",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Formicarius analis",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Formicarius colma",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Formicarius rufipectus",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"Formicivora rufa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Forpus coelestis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Forpus modestus",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Forpus xanthopterygius",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Frederickena unduligera",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Fulica ardesiaca",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Fulica gigantea",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Furnarius cinnamomeus",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
"Furnarius leucopus",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Galbalcyrhynchus leucotis",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Galbalcyrhynchus purusianus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galbula albirostris",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Galbula chalcothorax",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Galbula cyanescens",1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"Galbula dea",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Gallinago andina",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
"Gallinago imperialis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Gallinago jamesoni",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gallinago paraguaiae",1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"Gallinula chloropus",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Gampsonyx swainsonii",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Geositta crassirostris",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Geositta cunicularia",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Geositta maritima",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Geositta tenuirostris",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Geothlypis aequinoctialis",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Geothlypis auricularis",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Geotrygon frenata",0,1,1,3,1,0,0,1,1,0,0,0,1,0,1,0,0,0
"Geotrygon montana",1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0
"Geranoaetus melanoleucus",0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1
"Geranospiza caerulescens",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Glaucidium bolivianum",0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"Glaucidium brasilianum",1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"Glaucidium hardyi",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glaucidium jardinii",0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
"Glaucidium parkeri",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Glaucidium peruanum",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
"Glaucis hirsutus",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Glyphorynchus spirurus",1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
"Grallaria albigula",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Grallaria andicolus",0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
"Grallaria blakei",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grallaria capitalis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grallaria carrikeri",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grallaria erythroleuca",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Grallaria guatimalensis",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Grallaria hypoleuca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Grallaria nuchalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Grallaria przewalskii",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grallaria quitensis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grallaria ruficapilla",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"Grallaria rufula",0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
"Grallaria squamigera",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Grallaricula ferrugineipectus",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grallaricula flavirostris",0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
"Grallaricula nana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Grallaricula peruviana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Gymnoderus foetidus",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Gymnopithys leucaspis",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Gymnopithys lunulatus",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Gymnopithys salvini",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Habia rubica",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Hapalopsittaca melanotis",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Hapaloptila castanea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Haplochelidon andecola",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Haplophaedia assimilis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haplophaedia aureliae",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Haplospiza rustica",0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0
"Harpagus bidentatus",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Harpia harpyja",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harpyhaliaetus solitarius",0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0
"Heliangelus amethysticollis",0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"Heliangelus micraster",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Heliangelus viola",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"Heliodoxa aurescens",1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"Heliodoxa branickii",0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"Heliodoxa leadbeateri",0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
"Heliodoxa rubinoides",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Heliodoxa schreibersii",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Heliomaster longirostris",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Heliornis fulica",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Heliothryx auritus",1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"Hellmayrea gularis",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Hemispingus atropileus",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Hemispingus auricularis",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hemispingus frontalis",0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Hemispingus melanotis",0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
"Hemispingus parodii",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Hemispingus rufosuperciliaris",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hemispingus superciliaris",0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
"Hemispingus trifasciatus",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Hemispingus xanthophthalmus",0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Hemithraupis flavicollis",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Hemithraupis guira",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Hemitriccus flammulatus",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Hemitriccus granadensis",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Hemitriccus griseipectus",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Hemitriccus iohannis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hemitriccus margaritaceiventer",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hemitriccus rufigularis",0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"Hemitriccus zosterops",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Henicorhina leucophrys",0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0
"Henicorhina leucosticta",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Herpetotheres cachinnans",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Herpsilochmus axillaris",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Herpsilochmus rufimarginatus",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"Himantopus himantopus",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"Hirundinea ferruginea",0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0
"Hirundo rustica",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Hydropsalis climacocerca",1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"Hylatomus fuscipennis",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Hylatomus lineatus",1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Hylexetastes stresemanni",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
